,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
1637,2013-09-23,11.1,31.8,0.0,7.0,65.0,3.0,6.0,20.0,33.0,13.0,6.0,1004.3,999.2,24.3,29.7,0.0,0.0
1638,2013-09-24,10.0,30.4,0.0,7.0,46.0,3.0,14.0,11.0,30.0,38.0,17.0,1006.7,1003.8,19.9,27.7,0.0,0.0
1639,2013-09-25,11.9,28.6,0.0,6.0,33.0,14.0,6.0,9.0,19.0,51.0,21.0,1009.3,1006.0,20.5,27.4,0.0,0.0
1640,2013-09-26,12.0,20.8,0.0,13.0,76.0,15.0,12.0,30.0,19.0,42.0,21.0,1015.7,1016.5,13.9,19.7,0.0,0.0
1641,2013-09-27,5.5,26.5,0.0,3.0,48.0,5.0,6.0,28.0,19.0,29.0,9.0,1017.5,1011.5,16.9,25.7,0.0,0.0
1642,2013-09-28,7.5,23.4,0.0,15.0,44.0,13.0,12.0,20.0,22.0,52.0,31.0,1017.2,1014.9,16.1,22.1,0.0,0.0
1643,2013-09-29,7.7,28.0,0.0,3.0,37.0,5.0,6.0,24.0,22.0,37.0,14.0,1016.9,1011.9,18.3,27.0,0.0,0.0
1644,2013-09-30,17.3,32.1,0.0,3.0,65.0,6.0,6.0,28.0,24.0,6.0,7.0,1007.5,1003.5,25.6,30.2,0.0,1.0
1645,2013-10-01,12.3,19.9,6.8,14.0,67.0,15.0,15.0,33.0,24.0,55.0,26.0,1010.4,1013.0,14.4,17.9,1.0,0.0
1646,2013-10-02,7.6,22.5,0.0,15.0,67.0,6.0,14.0,26.0,35.0,38.0,29.0,1012.4,1008.9,16.5,22.3,0.0,1.0
1647,2013-10-03,5.7,19.7,4.4,11.0,44.0,11.0,8.0,24.0,11.0,53.0,29.0,1023.9,1022.3,12.6,18.3,1.0,0.0
1648,2013-10-04,4.0,24.8,0.0,3.0,33.0,4.0,6.0,15.0,13.0,52.0,19.0,1023.9,1018.7,14.8,23.3,0.0,0.0
1649,2013-10-05,11.5,30.7,0.0,6.0,41.0,6.0,6.0,19.0,20.0,22.0,8.0,1014.8,1009.4,20.4,30.1,0.0,0.0
1650,2013-10-06,10.0,23.5,0.0,13.0,41.0,11.0,15.0,20.0,20.0,70.0,37.0,1012.1,1010.3,14.1,21.4,0.0,0.0
1651,2013-10-07,5.9,24.2,0.0,15.0,39.0,10.0,15.0,6.0,13.0,78.0,27.0,1016.0,1013.9,11.8,22.4,0.0,0.0
1652,2013-10-08,7.6,24.8,0.0,8.0,24.0,8.0,12.0,13.0,6.0,71.0,29.0,1020.5,1017.5,13.0,23.0,0.0,0.0
1653,2013-10-09,10.8,34.9,0.0,3.0,56.0,3.0,6.0,24.0,35.0,20.0,4.0,1015.1,1009.8,22.1,32.9,0.0,0.0
1654,2013-10-10,21.8,29.4,0.0,12.0,50.0,7.0,12.0,11.0,30.0,11.0,22.0,1005.0,1008.3,25.3,27.2,0.0,0.0
1655,2013-10-11,7.0,23.3,0.6,13.0,30.0,12.0,15.0,13.0,13.0,68.0,26.0,1020.3,1017.6,12.4,21.3,0.0,0.0
1656,2013-10-12,7.2,29.3,0.0,6.0,35.0,5.0,7.0,13.0,19.0,31.0,10.0,1014.2,1007.9,17.2,28.7,0.0,0.0
1657,2013-10-13,12.5,21.1,0.0,12.0,63.0,12.0,15.0,24.0,33.0,64.0,26.0,1007.7,1008.8,15.3,19.3,0.0,0.0
1658,2013-10-14,4.7,20.2,0.0,13.0,37.0,12.0,12.0,15.0,15.0,65.0,29.0,1024.4,1022.9,10.0,18.1,0.0,0.0
1659,2013-10-15,3.3,24.2,0.0,14.0,35.0,0.0,14.0,7.0,20.0,57.0,19.0,1026.0,1020.6,12.4,21.9,0.0,0.0
1660,2013-10-16,11.7,30.5,0.0,3.0,59.0,6.0,6.0,20.0,30.0,18.0,3.0,1013.5,1006.7,20.1,29.7,0.0,0.0
1661,2013-10-17,12.1,20.7,0.2,15.0,57.0,13.0,12.0,26.0,26.0,52.0,13.0,1013.7,1016.5,13.9,19.3,0.0,0.0
1662,2013-10-18,4.2,25.5,0.0,6.0,35.0,4.0,6.0,19.0,13.0,43.0,8.0,1026.0,1023.3,12.9,23.7,0.0,0.0
1663,2013-10-19,8.2,31.3,0.0,3.0,44.0,5.0,6.0,17.0,17.0,14.0,2.0,1022.6,1017.1,18.6,29.4,0.0,0.0
1664,2013-10-20,14.9,37.8,0.0,3.0,44.0,5.0,6.0,20.0,19.0,6.0,4.0,1014.3,1009.8,24.6,36.8,0.0,0.0
1665,2013-10-21,22.1,31.5,0.0,9.0,46.0,1.0,10.0,9.0,26.0,37.0,22.0,1010.4,1010.7,22.8,31.0,0.0,0.0
1666,2013-10-22,20.5,26.7,0.0,13.0,56.0,10.0,14.0,17.0,22.0,46.0,46.0,1007.7,1006.8,22.1,24.4,0.0,1.0
1667,2013-10-23,12.5,21.1,2.0,12.0,50.0,12.0,12.0,26.0,24.0,65.0,29.0,1015.5,1015.7,13.9,19.5,1.0,0.0
1668,2013-10-24,7.4,20.1,0.0,12.0,44.0,11.0,8.0,22.0,13.0,44.0,23.0,1024.4,1023.4,11.6,17.7,0.0,0.0
1669,2013-10-25,3.2,21.5,0.0,11.0,37.0,8.0,14.0,9.0,17.0,53.0,35.40232945091514,1028.7,1024.8,11.4,20.0,0.0,0.0
1670,2013-10-26,5.5,24.4,0.0,15.0,43.0,10.0,12.0,13.0,15.0,64.10379241516966,35.40232945091514,1027.4,1024.1,14.0,22.2,0.0,0.0
1671,2013-10-27,10.1,27.0,0.0,14.0,43.0,0.0,3.0,13.0,11.0,64.10379241516966,35.40232945091514,1023.5,1019.2,15.2,26.2,0.0,0.0
1672,2013-10-28,15.2,25.5,0.4,13.0,57.0,5.0,13.0,20.0,26.0,29.0,28.0,1010.8,1010.3,22.2,24.9,0.0,0.0
1673,2013-10-29,11.1,24.0,0.0,11.0,48.0,8.0,8.0,28.0,24.0,48.0,47.0,1020.0,1018.1,13.5,21.2,0.0,0.0
1674,2013-10-30,6.9,24.3,0.0,10.0,35.0,10.0,11.0,20.0,15.0,61.0,24.0,1023.6,1021.0,12.6,21.0,0.0,0.0
1675,2013-10-31,7.1,25.8,0.0,8.0,30.0,9.0,12.0,20.0,13.0,56.0,24.0,1025.1,1021.6,14.1,23.3,0.0,0.0
1676,2013-11-01,7.5,30.9,0.0,15.0,30.0,0.0,7.0,7.0,9.0,49.0,10.0,1022.1,1018.5,17.3,29.7,0.0,0.0
1677,2013-11-02,11.5,37.2,0.0,15.0,41.0,3.0,13.0,6.0,20.0,28.0,7.0,1017.5,1013.5,24.7,35.4,0.0,0.0
1678,2013-11-03,14.6,25.2,0.0,11.0,48.0,11.0,12.0,30.0,26.0,52.0,18.0,1022.2,1021.7,15.5,23.7,0.0,0.0
1679,2013-11-04,7.0,23.8,0.0,10.0,43.0,10.0,9.0,19.0,26.0,65.0,15.0,1029.7,1026.4,12.4,21.4,0.0,0.0
1680,2013-11-05,8.9,29.2,0.0,1.0,31.0,0.0,4.0,17.0,11.0,45.0,11.0,1025.6,1020.3,15.5,27.3,0.0,0.0
1681,2013-11-06,11.4,34.2,0.0,5.0,37.0,5.0,5.0,20.0,20.0,19.0,8.0,1017.0,1012.2,22.4,33.1,0.0,0.0
1682,2013-11-07,16.2,37.7,0.0,11.0,43.0,3.0,7.0,11.0,20.0,25.0,5.0,1009.8,1007.2,26.9,36.4,0.0,0.0
1683,2013-11-08,17.5,21.7,0.0,12.0,46.0,13.0,15.0,9.0,24.0,58.0,65.0,1008.3,1010.6,19.5,18.4,0.0,1.0
1684,2013-11-09,6.7,21.9,1.2,12.0,41.0,10.0,11.0,19.0,26.0,54.0,32.0,1018.9,1017.3,12.5,19.7,1.0,0.0
1685,2013-11-10,7.2,22.1,0.0,8.0,43.0,10.0,8.0,22.0,20.0,56.0,66.0,1022.7,1019.2,12.7,20.1,0.0,0.0
1686,2013-11-11,7.6,19.5,0.0,2.0,44.0,10.0,9.0,15.0,31.0,72.0,52.0,1020.6,1018.5,12.5,16.8,0.0,0.0
1687,2013-11-12,7.4,22.7,0.0,12.0,35.0,8.0,12.0,11.0,20.0,62.0,31.0,1018.0,1014.8,13.7,20.2,0.0,0.0
1688,2013-11-13,9.4,23.4,0.0,15.0,39.0,8.0,15.0,17.0,19.0,66.0,30.0,1019.3,1017.1,14.8,20.7,0.0,0.0
1689,2013-11-14,6.6,25.7,0.0,10.0,33.0,8.0,11.0,15.0,13.0,61.0,23.0,1020.2,1017.0,14.0,21.9,0.0,0.0
1690,2013-11-15,9.0,25.3,0.0,12.0,35.0,9.0,12.0,15.0,17.0,52.0,22.0,1019.9,1017.0,15.0,23.8,0.0,0.0
1691,2013-11-16,10.1,25.9,0.0,11.0,35.0,10.0,8.0,20.0,20.0,56.0,55.0,1017.8,1014.9,15.0,23.6,0.0,0.0
1692,2013-11-17,11.3,29.2,0.0,10.0,31.0,10.0,10.0,17.0,13.0,65.0,21.0,1016.7,1014.0,16.5,27.4,0.0,0.0
1693,2013-11-18,11.8,32.0,0.0,5.0,37.0,4.0,14.0,9.0,13.0,30.0,13.0,1015.2,1010.7,22.4,30.8,0.0,0.0
1694,2013-11-19,14.7,36.0,0.0,8.0,48.0,5.0,14.0,13.0,17.0,22.0,8.0,1009.9,1006.0,24.2,34.7,0.0,0.0
1695,2013-11-20,14.3,25.1,0.0,10.0,33.0,10.0,13.0,15.0,13.0,59.0,35.0,1006.8,1008.7,17.4,23.5,0.0,0.0
1696,2013-11-21,10.0,25.2,0.4,10.0,41.0,11.0,13.0,13.0,13.0,63.0,25.0,1012.4,1009.6,13.8,24.1,0.0,0.0
1697,2013-11-22,7.6,24.8,0.0,12.0,46.0,11.0,7.0,13.0,11.0,61.0,21.0,1012.5,1009.4,14.7,23.0,0.0,0.0
1698,2013-11-23,9.2,25.0,0.0,12.0,41.0,12.0,12.0,19.0,19.0,70.0,28.0,1011.6,1008.8,13.5,22.5,0.0,0.0
1699,2013-11-24,9.6,25.5,0.0,9.0,35.0,8.0,8.0,19.0,19.0,60.0,28.0,1013.9,1010.7,15.0,23.4,0.0,0.0
1700,2013-11-25,9.8,28.7,0.0,2.0,33.0,9.0,8.0,17.0,11.0,54.0,24.0,1012.8,1009.4,15.8,26.7,0.0,0.0
1701,2013-11-26,12.4,33.7,0.0,4.0,26.0,1.0,0.0,13.0,13.0,32.0,8.0,1012.7,1010.8,23.8,32.5,0.0,0.0
1702,2013-11-27,17.6,37.8,0.0,5.0,35.0,5.0,7.0,22.0,11.0,8.0,9.0,1012.8,1009.3,28.5,36.0,0.0,0.0
1703,2013-11-28,20.8,25.9,0.0,11.0,50.0,11.0,11.0,19.0,26.0,31.0,38.0,1007.2,1008.0,25.1,23.9,0.0,0.0
1704,2013-11-29,9.3,25.6,0.8,10.0,46.0,10.0,9.0,20.0,22.0,69.0,26.0,1015.4,1014.4,14.1,23.7,0.0,0.0
1705,2013-11-30,8.5,28.8,0.0,10.0,35.0,2.0,2.0,20.0,11.0,45.0,19.0,1020.2,1017.2,15.6,25.7,0.0,0.0
1706,2013-12-01,15.4,35.9,0.0,12.0,65.0,4.0,3.0,13.0,22.0,17.0,6.0,1017.6,1014.7,24.9,33.5,0.0,0.0
1707,2013-12-02,15.2,40.1,0.0,3.0,44.0,4.0,6.0,17.0,20.0,20.0,11.0,1014.8,1010.9,28.0,38.5,0.0,0.0
1708,2013-12-03,20.4,39.6,0.0,11.0,59.0,12.0,3.0,15.0,19.0,51.0,12.0,1011.8,1005.9,21.7,37.4,0.0,1.0
1709,2013-12-04,17.5,23.2,25.8,15.0,44.0,12.0,15.0,15.0,20.0,97.0,64.0,1004.6,1004.5,17.5,18.8,1.0,1.0
1710,2013-12-05,9.0,21.0,14.4,15.0,59.0,15.0,15.0,22.0,33.0,62.0,17.0,1009.5,1010.5,12.6,18.6,1.0,0.0
1711,2013-12-06,8.1,24.7,0.0,12.0,31.0,11.0,8.0,15.0,9.0,59.0,34.0,1020.6,1019.0,14.1,21.1,0.0,0.0
1712,2013-12-07,13.5,29.0,0.0,3.0,28.0,4.0,3.0,9.0,9.0,61.0,26.0,1020.6,1017.7,17.2,27.4,0.0,0.0
1713,2013-12-08,15.8,35.9,0.0,3.0,43.0,5.0,6.0,20.0,20.0,23.0,9.0,1013.1,1008.6,24.7,34.6,0.0,0.0
1714,2013-12-09,22.2,27.2,0.0,15.0,46.0,12.0,15.0,24.0,22.0,61.0,52.0,1006.9,1004.6,22.6,26.1,0.0,0.0
1715,2013-12-10,11.6,24.6,0.2,13.0,41.0,13.0,15.0,19.0,17.0,59.0,33.0,1013.0,1011.5,15.8,21.3,0.0,0.0
1716,2013-12-11,12.0,25.8,0.0,15.0,37.0,15.0,12.0,17.0,20.0,55.0,29.0,1013.9,1011.9,17.3,24.3,0.0,0.0
1717,2013-12-12,10.7,28.2,0.0,13.0,46.0,12.0,15.0,17.0,17.0,59.0,24.0,1015.8,1012.6,15.9,25.4,0.0,0.0
1718,2013-12-13,11.3,29.7,0.0,13.0,39.0,11.0,12.0,13.0,15.0,60.0,25.0,1016.4,1014.1,18.0,26.5,0.0,0.0
1719,2013-12-14,13.7,28.4,0.0,11.0,35.0,10.0,11.0,20.0,13.0,55.0,20.0,1020.3,1017.5,17.3,26.1,0.0,0.0
1720,2013-12-15,13.1,30.6,0.0,10.0,33.0,10.0,8.0,15.0,17.0,50.0,12.0,1020.8,1017.4,17.8,28.8,0.0,0.0
1721,2013-12-16,15.8,33.7,0.0,12.0,35.0,10.0,10.0,17.0,15.0,50.0,14.0,1019.3,1016.4,20.8,30.9,0.0,0.0
1722,2013-12-17,15.5,35.8,0.0,10.0,28.0,9.0,9.0,17.0,15.0,39.0,14.0,1019.0,1016.4,22.5,33.6,0.0,0.0
1723,2013-12-18,17.9,39.9,0.0,1.0,24.0,0.0,15.0,15.0,9.0,35.0,10.0,1017.7,1014.4,24.9,38.8,0.0,0.0
1724,2013-12-19,22.6,42.6,0.0,14.0,67.0,5.0,3.0,17.0,19.0,24.0,8.0,1014.2,1011.3,30.8,41.9,0.0,0.0
1725,2013-12-20,26.9,43.1,0.0,5.0,63.0,3.0,6.0,20.0,19.0,13.0,6.0,1012.3,1008.6,32.8,42.4,0.0,0.0
1726,2013-12-21,19.9,36.5,0.0,9.0,39.0,2.0,15.0,22.0,17.0,37.0,18.0,1009.8,1007.4,24.0,35.4,0.0,0.0
1727,2013-12-22,23.9,28.2,0.0,13.0,39.0,15.0,13.0,15.0,15.0,44.0,53.0,1008.5,1009.9,26.8,26.2,0.0,1.0
1728,2013-12-23,14.6,24.9,17.4,11.0,41.0,13.0,15.0,15.0,19.0,86.0,41.0,1014.1,1014.4,16.2,21.7,1.0,0.0
1729,2013-12-24,12.1,25.6,0.0,8.0,30.0,9.0,0.0,19.0,13.0,56.0,32.0,1020.4,1017.5,16.8,24.4,0.0,0.0
1730,2013-12-25,15.1,31.0,0.0,3.0,31.0,10.0,14.0,4.0,15.0,48.0,19.0,1014.8,1011.6,21.6,29.3,0.0,0.0
1731,2013-12-26,19.0,34.3,0.0,13.0,41.0,7.0,15.0,20.0,20.0,46.0,19.0,1011.2,1009.3,24.9,32.7,0.0,0.0
1732,2013-12-27,15.7,32.7,0.0,10.0,28.0,10.0,12.0,17.0,9.0,48.0,13.0,1013.5,1009.9,18.9,29.7,0.0,0.0
1733,2013-12-28,17.9,42.0,0.0,12.0,72.0,5.0,7.0,20.0,31.0,15.0,8.0,1005.6,1001.3,28.6,41.1,0.0,0.0
1734,2013-12-29,11.8,28.9,0.0,8.0,44.0,9.0,9.0,20.0,24.0,49.0,37.0,1017.7,1014.6,15.9,26.4,0.0,0.0
1735,2013-12-30,12.2,32.6,0.0,11.0,31.0,2.0,11.0,15.0,13.0,42.0,12.0,1015.9,1013.2,18.6,29.7,0.0,0.0
1736,2013-12-31,12.9,35.0,0.0,2.0,28.0,0.0,0.0,17.0,11.0,31.0,13.0,1015.1,1013.1,20.6,31.9,0.0,0.0
1737,2014-01-01,20.2,37.7,0.0,3.0,43.0,3.0,6.0,26.0,13.0,10.0,6.0,1007.2,1005.9,28.6,37.0,0.0,0.0
1738,2014-01-02,19.8,28.0,0.0,12.0,43.0,10.0,9.0,24.0,17.0,72.0,46.0,1008.8,1006.5,21.0,26.1,0.0,0.0
1739,2014-01-03,15.7,27.6,0.2,12.0,54.0,12.0,12.0,19.0,30.0,67.0,34.0,1005.2,1005.4,18.0,24.6,0.0,0.0
1740,2014-01-04,10.6,27.3,0.0,12.0,39.0,13.0,13.0,19.0,19.0,59.0,30.0,1012.4,1010.0,16.4,24.4,0.0,0.0
1741,2014-01-05,10.7,29.6,0.0,15.0,61.0,6.0,13.0,7.0,28.0,46.0,22.0,1011.0,1007.7,19.2,28.3,0.0,0.0
1742,2014-01-06,10.8,25.5,0.0,15.0,43.0,8.0,8.0,20.0,19.0,50.0,20.0,1019.7,1018.7,15.8,24.0,0.0,0.0
1743,2014-01-07,10.7,26.6,0.0,10.0,48.0,10.0,10.0,20.0,24.0,47.0,25.0,1024.1,1019.5,14.7,24.1,0.0,0.0
1744,2014-01-08,12.9,29.2,0.0,9.0,28.0,9.0,0.0,17.0,7.0,51.0,25.0,1018.9,1015.3,15.8,26.7,0.0,0.0
1745,2014-01-09,15.8,37.1,0.0,4.0,52.0,4.0,7.0,22.0,9.0,39.0,21.0,1013.6,1011.6,25.5,35.7,0.0,0.0
1746,2014-01-10,18.1,35.9,0.0,4.0,24.0,1.0,8.0,15.0,9.0,61.0,29.0,1017.1,1014.5,23.5,33.4,0.0,0.0
1747,2014-01-11,20.8,39.3,0.0,12.0,80.0,3.0,13.0,6.0,19.0,35.0,19.0,1016.7,1014.5,29.4,37.5,0.0,0.0
1748,2014-01-12,17.2,36.7,0.0,8.0,48.0,10.0,10.0,19.0,11.0,54.0,20.0,1019.2,1015.3,20.6,33.1,0.0,0.0
1749,2014-01-13,18.8,42.0,0.0,3.0,28.0,0.0,3.0,15.0,7.0,27.0,11.0,1014.3,1010.7,24.9,39.9,0.0,0.0
1750,2014-01-14,24.9,45.2,0.0,11.0,50.0,5.0,7.0,26.0,13.0,16.0,9.0,1012.3,1009.9,35.3,43.6,0.0,0.0
1751,2014-01-15,24.0,44.1,0.0,3.0,33.0,3.0,6.0,19.0,7.0,17.0,10.0,1014.3,1011.9,35.2,43.0,0.0,0.0
1752,2014-01-16,24.8,44.0,0.0,4.0,39.0,5.0,5.0,13.0,20.0,21.0,10.0,1014.6,1011.0,32.5,41.9,0.0,0.0
1753,2014-01-17,25.5,44.1,0.0,5.0,41.0,5.0,3.0,20.0,17.0,19.0,8.0,1009.8,1006.0,33.9,42.6,0.0,0.0
1754,2014-01-18,24.5,38.2,0.0,10.0,52.0,9.0,2.0,17.0,24.0,38.0,21.0,1010.4,1009.1,26.6,35.9,0.0,0.0
1755,2014-01-19,17.6,34.0,0.0,10.0,43.0,8.0,10.0,17.0,19.0,55.0,13.0,1011.9,1008.9,19.8,31.9,0.0,0.0
1756,2014-01-20,16.1,34.9,0.0,8.0,44.0,8.0,11.0,15.0,13.0,54.0,15.0,1011.0,1008.1,19.1,32.4,0.0,0.0
1757,2014-01-21,16.3,31.1,0.0,8.0,37.0,8.0,10.0,19.0,24.0,55.0,18.0,1012.7,1011.5,19.1,28.2,0.0,0.0
1758,2014-01-22,15.4,29.6,0.0,9.0,33.0,9.0,10.0,22.0,19.0,55.0,25.0,1018.7,1017.2,17.4,27.0,0.0,0.0
1759,2014-01-23,16.2,38.9,0.0,2.0,48.0,9.0,1.0,13.0,13.0,43.0,23.0,1015.8,1011.2,21.5,35.3,0.0,0.0
1760,2014-01-24,21.5,28.4,0.4,7.0,35.0,9.0,7.0,0.0,19.0,64.0,51.0,1011.5,1011.6,22.8,24.3,0.0,0.0
1761,2014-01-25,14.2,29.6,0.0,9.0,44.0,10.0,9.0,24.0,20.0,46.0,14.0,1019.3,1017.8,17.6,26.3,0.0,0.0
1762,2014-01-26,13.8,33.7,0.0,10.0,46.0,0.0,10.0,17.0,9.0,43.0,17.0,1020.4,1016.9,18.2,31.0,0.0,0.0
1763,2014-01-27,17.9,39.3,0.0,7.0,43.0,5.0,3.0,17.0,19.0,30.0,7.0,1016.0,1013.6,26.4,37.4,0.0,0.0
1764,2014-01-28,23.3,42.1,0.0,3.0,41.0,3.0,14.0,19.0,24.0,24.0,9.0,1013.1,1010.0,31.3,40.8,0.0,0.0
1765,2014-01-29,22.6,38.9,0.0,8.0,33.0,11.0,13.0,13.0,15.0,49.0,19.0,1014.1,1012.1,24.5,35.7,0.0,0.0
1766,2014-01-30,21.6,43.3,0.0,11.0,30.0,2.0,6.0,17.0,7.0,38.0,13.0,1012.8,1009.9,27.2,41.7,0.0,0.0
1767,2014-01-31,25.5,43.5,0.0,8.0,24.0,10.0,4.0,9.0,13.0,32.0,10.0,1010.8,1008.3,30.1,41.5,0.0,0.0
1768,2014-02-01,26.3,41.9,0.0,9.0,19.0,0.0,3.0,9.0,9.0,39.0,10.0,1009.0,1007.0,28.0,39.7,0.0,0.0
1769,2014-02-02,24.6,44.1,0.0,3.0,30.0,1.0,3.0,9.0,15.0,28.0,9.0,1008.5,1005.9,30.9,42.3,0.0,0.0
1770,2014-02-03,27.0,40.5,0.0,8.0,50.0,6.0,12.0,13.0,22.0,21.0,16.0,1007.0,1007.7,32.6,38.1,0.0,0.0
1771,2014-02-04,14.8,33.2,0.0,8.0,52.0,10.0,8.0,26.0,20.0,43.0,12.0,1017.5,1014.6,16.9,29.8,0.0,0.0
1772,2014-02-05,16.7,38.1,0.0,4.0,33.0,9.0,2.0,19.0,13.0,46.0,24.0,1014.8,1011.5,21.9,35.7,0.0,0.0
1773,2014-02-06,20.5,40.2,0.0,14.0,31.0,7.0,7.0,9.0,15.0,30.0,13.0,1011.3,1008.5,25.5,38.1,0.0,0.0
1774,2014-02-07,17.2,40.4,0.0,13.0,31.0,15.0,13.0,13.0,15.0,52.0,12.0,1011.3,1009.4,21.4,38.7,0.0,0.0
1775,2014-02-08,20.0,43.7,0.0,3.0,39.0,5.0,6.0,17.0,20.0,24.0,8.0,1010.7,1007.9,29.0,42.4,0.0,0.0
1776,2014-02-09,26.1,40.2,0.0,14.0,48.0,3.0,11.0,24.0,24.0,14.0,21.0,1010.4,1012.1,32.9,36.1,0.0,0.0
1777,2014-02-10,15.4,35.4,0.0,8.0,33.0,10.0,8.0,19.0,15.0,41.0,9.0,1018.5,1014.5,18.2,31.3,0.0,0.0
1778,2014-02-11,18.0,39.4,0.0,0.0,24.0,0.0,11.0,17.0,11.0,39.0,7.0,1014.1,1011.6,22.2,37.1,0.0,0.0
1779,2014-02-12,15.7,41.3,0.0,4.0,24.0,4.0,6.0,13.0,9.0,25.0,7.0,1012.5,1009.5,24.3,40.6,0.0,0.0
1780,2014-02-13,24.3,33.5,0.0,2.0,43.0,0.0,9.0,11.0,15.0,29.0,28.0,1009.0,1006.7,29.4,32.5,0.0,1.0
1781,2014-02-14,20.5,22.8,16.0,0.0,37.0,2.0,1.0,13.0,13.0,97.0,96.0,1006.7,1002.1,20.8,22.2,1.0,1.0
1782,2014-02-15,20.8,28.9,49.0,15.0,41.0,8.0,11.0,9.0,17.0,96.0,82.0,995.2,996.7,21.7,24.4,1.0,0.0
1783,2014-02-16,17.9,28.0,0.0,11.0,43.0,11.0,11.0,26.0,20.0,68.0,35.0,1009.1,1009.1,18.9,25.6,0.0,0.0
1784,2014-02-17,13.2,29.8,0.0,10.0,26.0,2.0,12.0,13.0,13.0,64.0,30.0,1013.3,1011.0,18.3,27.8,0.0,0.0
1785,2014-02-18,15.2,30.8,0.0,13.0,43.0,12.0,13.0,9.0,17.0,59.0,32.0,1009.8,1006.9,18.9,29.7,0.0,0.0
1786,2014-02-19,15.0,25.4,0.0,12.0,65.0,13.0,13.0,20.0,28.0,74.0,30.0,1004.7,1003.1,17.8,24.4,0.0,1.0
1787,2014-02-20,10.2,23.3,2.2,11.0,35.0,12.0,12.0,13.0,19.0,66.0,26.0,1015.0,1015.7,13.8,21.7,1.0,0.0
1788,2014-02-21,9.7,23.5,0.0,8.0,44.0,8.0,8.0,13.0,20.0,63.0,26.0,1023.4,1021.0,14.2,22.4,0.0,0.0
1789,2014-02-22,11.3,27.6,0.0,8.0,43.0,8.0,8.0,15.0,22.0,59.0,30.0,1024.2,1021.0,14.5,24.0,0.0,0.0
1790,2014-02-23,12.6,30.6,0.0,9.0,26.0,9.0,7.0,17.0,9.0,66.0,26.0,1020.7,1017.4,15.7,28.1,0.0,0.0
1791,2014-02-24,14.5,35.2,0.0,9.0,22.0,11.0,15.0,9.0,9.0,52.0,21.0,1016.7,1013.4,19.4,33.6,0.0,0.0
1792,2014-02-25,16.8,35.6,0.0,12.0,48.0,15.0,14.0,9.0,17.0,54.0,21.0,1011.4,1006.9,20.5,34.3,0.0,0.0
1793,2014-02-26,15.3,28.5,0.0,11.0,39.0,11.0,8.0,20.0,24.0,68.0,33.0,1013.1,1012.4,17.1,26.4,0.0,0.0
1794,2014-02-27,12.8,26.5,0.0,10.0,37.0,10.0,9.0,17.0,22.0,52.0,27.0,1020.9,1019.2,16.0,23.9,0.0,0.0
1795,2014-02-28,11.7,28.9,0.0,11.0,30.0,10.0,8.0,15.0,13.0,58.0,24.0,1020.9,1018.6,15.0,25.4,0.0,0.0
1796,2014-03-01,14.5,31.1,0.0,10.0,35.0,9.0,9.0,11.0,15.0,55.0,40.0,1019.1,1016.9,19.1,30.2,0.0,0.0
1797,2014-03-02,17.1,30.7,0.0,8.0,33.0,9.0,9.0,17.0,17.0,64.0,36.0,1020.0,1018.4,20.1,29.1,0.0,0.0
1798,2014-03-03,16.2,33.4,0.0,9.0,37.0,9.0,9.0,13.0,15.0,57.0,30.0,1021.7,1018.8,20.2,31.4,0.0,0.0
1799,2014-03-04,19.9,34.7,0.0,5.0,43.0,4.0,6.0,13.0,19.0,61.0,31.0,1019.7,1016.4,25.0,34.0,0.0,0.0
1800,2014-03-05,19.7,31.7,0.0,6.0,41.0,6.0,11.0,13.0,15.0,78.0,33.0,1016.1,1015.5,23.5,29.3,0.0,0.0
1801,2014-03-06,13.3,28.1,0.0,10.0,33.0,10.0,11.0,17.0,15.0,57.0,29.0,1019.1,1017.9,15.6,26.5,0.0,0.0
1802,2014-03-07,12.4,27.6,0.0,9.0,33.0,9.0,9.0,20.0,11.0,60.0,26.0,1022.2,1020.4,14.8,26.4,0.0,0.0
1803,2014-03-08,13.2,30.8,0.0,9.0,24.0,9.0,9.0,11.0,11.0,78.0,23.0,1020.3,1017.3,17.4,28.8,0.0,0.0
1804,2014-03-09,17.0,36.2,0.0,3.0,37.0,1.0,5.0,9.0,13.0,41.0,19.0,1017.5,1014.4,22.8,35.2,0.0,0.0
1805,2014-03-10,19.0,38.2,0.0,6.0,35.0,5.0,7.0,13.0,17.0,39.0,14.0,1018.2,1016.3,24.8,37.4,0.0,0.0
1806,2014-03-11,22.1,35.9,0.0,12.0,56.0,5.0,15.0,11.0,15.0,39.0,18.0,1018.5,1016.2,26.3,34.3,0.0,1.0
1807,2014-03-12,14.5,26.4,2.2,11.0,35.0,8.0,11.0,15.0,13.0,84.0,38.0,1021.4,1019.6,15.7,24.0,1.0,0.0
1808,2014-03-13,11.0,26.5,0.0,9.0,26.0,9.0,4.0,9.0,6.0,60.0,28.0,1020.0,1017.2,15.6,26.1,0.0,0.0
1809,2014-03-14,10.5,31.3,0.0,14.0,31.0,2.0,6.0,6.0,13.0,57.0,19.0,1015.4,1011.6,17.7,29.5,0.0,0.0
